#For superellipsoids (12 columns:rx	ry	rz	eps1	eps2	x	y	z	q0	q1	q2	q3)
2.699503e-04	2.756674e-04	3.631333e-04	1.538864e+00	1.083196e+00	6.435130e-03	6.892999e-03	2.021326e-03	6.416610e-01	4.211887e-01	-6.249319e-01	-1.425879e-01
2.780658e-04	3.048585e-04	3.950998e-04	1.086729e+00	8.345907e-01	2.684894e-03	4.232562e-03	6.834771e-03	7.499546e-01	2.381161e-01	-1.325991e-01	6.027324e-01
3.085379e-04	3.722157e-04	2.371755e-04	1.146944e+00	9.684149e-01	4.397970e-03	6.035643e-03	2.152705e-03	-6.127745e-01	7.754340e-01	-1.502025e-01	-2.547253e-02
4.044615e-04	4.452339e-04	3.670669e-04	6.495850e-01	1.466151e+00	2.878682e-03	5.013821e-03	3.997232e-03	1.731726e-01	-1.017513e-01	7.436529e-02	-9.767946e-01
4.124370e-04	3.909662e-04	4.327379e-04	7.858245e-01	7.500099e-01	3.847523e-03	5.759245e-03	3.540647e-03	7.415396e-01	4.081813e-01	4.537969e-01	2.785237e-01
3.966357e-04	2.509362e-04	3.811881e-04	1.658064e+00	8.738205e-01	2.795986e-03	2.838392e-03	5.645318e-03	2.178343e-01	-7.747736e-01	3.470335e-01	-4.814996e-01
2.875127e-04	2.394424e-04	3.628951e-04	9.238160e-01	9.363238e-01	6.717740e-03	3.607192e-03	6.037635e-03	-6.823753e-01	-7.169077e-01	9.505309e-02	-1.066405e-01
2.464231e-04	4.451612e-04	3.566377e-04	1.106001e+00	1.157418e+00	6.635715e-03	3.469263e-03	6.558826e-03	1.071536e-01	-8.605225e-01	3.791961e-01	3.228458e-01
3.130923e-04	2.265841e-04	2.553765e-04	1.266636e+00	1.121416e+00	3.007959e-03	4.403749e-03	6.314343e-03	2.583599e-02	-5.723589e-01	7.785185e-01	-2.562162e-01
4.318702e-04	4.098727e-04	2.752348e-04	9.409686e-01	1.475783e+00	2.186980e-03	2.643806e-03	5.500580e-03	-6.854262e-01	1.248220e-01	1.777918e-01	6.949824e-01
2.290701e-04	3.587277e-04	3.208399e-04	6.306415e-01	1.197561e+00	5.011764e-03	4.553436e-03	5.008547e-03	-7.767995e-01	-5.943271e-01	1.096357e-01	-1.770249e-01
2.395209e-04	2.400025e-04	3.233087e-04	6.986681e-01	7.022365e-01	6.052792e-03	3.213122e-03	7.506133e-03	-7.588861e-01	-6.064536e-01	-2.001031e-01	-1.275327e-01
3.499326e-04	2.570198e-04	4.235999e-04	8.501932e-01	1.002261e+00	3.422264e-03	2.714466e-03	6.506939e-03	6.091865e-01	3.235824e-01	-1.112342e-02	-7.239216e-01
4.121898e-04	4.330286e-04	2.608086e-04	6.726284e-01	7.925207e-01	2.190282e-03	5.548700e-03	7.499027e-03	-1.072063e-03	3.154888e-03	4.472473e-02	-9.989938e-01
2.736861e-04	3.894517e-04	3.215056e-04	1.588668e+00	7.745251e-01	3.225300e-03	2.149673e-03	4.606628e-03	8.915050e-01	-1.394790e-01	6.766214e-02	4.256599e-01
2.206274e-04	2.958257e-04	3.352125e-04	1.445350e+00	1.591840e+00	5.566443e-03	3.124262e-03	2.012766e-03	8.520139e-01	-4.354464e-01	-2.573052e-01	-1.351025e-01
3.911663e-04	4.356362e-04	2.423979e-04	7.325944e-01	8.691553e-01	6.919325e-03	6.347653e-03	5.620100e-03	3.644451e-01	-7.348499e-02	-5.664749e-01	-7.354495e-01
4.486856e-04	4.015342e-04	4.066568e-04	1.457581e+00	1.070554e+00	4.972730e-03	2.248125e-03	4.653674e-03	2.778559e-01	-7.291926e-01	4.654137e-01	4.176892e-01
2.054993e-04	4.059986e-04	3.713988e-04	1.302017e+00	6.596986e-01	5.446109e-03	6.997416e-03	7.389733e-03	-3.740302e-01	-1.148158e-01	-7.158240e-01	-5.783725e-01
2.448510e-04	2.171688e-04	3.936082e-04	7.126126e-01	8.960021e-01	4.813306e-03	6.374304e-03	3.528419e-03	-4.764677e-01	7.854739e-01	-3.086461e-01	-2.464690e-01
3.331932e-04	3.261164e-04	3.134831e-04	6.858477e-01	1.021268e+00	2.103359e-03	4.809526e-03	7.432801e-03	-5.147811e-01	-4.778447e-01	-5.773472e-01	4.163353e-01
3.513122e-04	2.504467e-04	2.542346e-04	8.764214e-01	1.181885e+00	6.506609e-03	4.481448e-03	3.791961e-03	9.949762e-01	-5.770937e-02	-8.178366e-02	1.836220e-03
3.573182e-04	2.004401e-04	2.800274e-04	8.208276e-01	1.167185e+00	4.007708e-03	4.687738e-03	5.464007e-03	-6.571151e-01	-1.171855e-01	6.710480e-01	3.227412e-01
3.482700e-04	4.159155e-04	3.570105e-04	1.604667e+00	1.405441e+00	6.639582e-03	5.191073e-03	2.117990e-03	-2.959338e-01	1.978958e-01	6.435934e-01	6.775308e-01
3.775706e-04	2.287064e-04	3.224327e-04	8.723424e-01	1.447054e+00	4.326153e-03	3.697783e-03	6.764931e-03	-5.983380e-01	-7.253685e-01	-4.540967e-02	-3.372983e-01
2.137365e-04	3.827808e-04	2.262141e-04	1.535216e+00	1.456936e+00	1.986519e-03	6.722090e-03	6.994134e-03	9.216177e-02	-4.640662e-01	6.255396e-01	-6.203620e-01
